교량명,시군구명,최종안전점검결과,준공후경과년수,시설물종별등급구분,교량시작점위도,교량시작점경도
자유로ICR-G2교(일산),고양시 덕양구,B,17,기타,37.618882,126.799826
자유로ICR-G2교(판교),고양시 덕양구,B,17,기타,37.618882,126.799826
자유로ICR-H교(0),고양시 덕양구,B,26,3,37.618882,126.799826
자유로ICR-H교(1),고양시 덕양구,B,17,3,37.618882,126.799826
김포대교(일산),김포시,B,26,1,37.593518,126.768595
김포대교(판교),김포시,B,26,1,37.593518,126.768595
신곡3교(일산),김포시,B,26,기타,37.598665,126.777861
신곡3교(판교),김포시,B,26,기타,37.598665,126.777861
신곡2교(일산),김포시,B,26,1,37.598665,126.777861
신곡2교(판교),김포시,B,26,1,37.598665,126.777861
김포ICR-F-2교,김포시,B,26,기타,37.598665,126.777861
신곡1교(일산),김포시,B,26,기타,37.598665,126.777861
신곡1교(판교),김포시,B,26,기타,37.598665,126.777861
김포ICR-E교,김포시,B,26,1,37.593518,126.768595
김포ICR-F-1교,김포시,B,24,1,37.593518,126.768595
중동ICR-A교,부천시 원미구,B,25,1,37.508748,126.748568
중동ICR-B교,부천시 원미구,B,25,1,37.508748,126.748568
중동ICR-C교,부천시 원미구,B,25,1,37.508748,126.748568
중동ICR-D교,부천시 원미구,B,25,1,37.508748,126.748568
송내ICR-B교,부천시 소사구,B,25,1,37.47441,126.754297
송내ICR-C-1교,부천시 원미구,B,25,1,37.47441,126.754297
송내ICR-D교,부천시 원미구,B,25,2,37.47441,126.754297
송내ICR-E교,부천시 소사구,B,25,2,37.47441,126.754297
대야교(일산),시흥시,B,24,1,37.455704,126.797441
대야교(판교),시흥시,B,24,1,37.455704,126.797441
시흥IC교(일산),시흥시,B,24,3,37.455704,126.797441
시흥IC교(판교),시흥시,B,24,3,37.455704,126.797441
계수5교(일산),시흥시,B,24,기타,37.455704,126.797441
계수5교(판교),시흥시,B,24,기타,37.455704,126.797441
계수4교(일산),시흥시,B,24,2,37.449284,126.805207
계수4교(판교),시흥시,B,24,2,37.449284,126.805207
계수3교(일산),시흥시,B,24,3,37.449284,126.805207
계수3교(판교),시흥시,B,24,3,37.449284,126.805207
계수2교(일산),시흥시,B,24,2,37.442096,126.812004
계수2교(판교),시흥시,B,24,2,37.442096,126.812004
계수1교(일산),시흥시,B,24,2,37.442096,126.812004
계수1교(판교),시흥시,B,24,2,37.441065,126.813006
안현JCT교(일산),시흥시,B,24,2,37.434911,126.818808
안현JCT교(판교),시흥시,B,24,2,37.434911,126.818808
안현JCTRamp-A1교,시흥시,B,24,2,37.434911,126.818808
안현JCTRamp-A2교,시흥시,B,24,기타,37.434911,126.818808
안현JCTRamp-I교,시흥시,A,24,기타,37.434911,126.818808
금이3교(일산),시흥시,B,24,1,37.403684,126.839853
금이3교(판교),시흥시,B,24,1,37.403684,126.839853
금이2교(일산),시흥시,B,24,1,37.403684,126.839853
금이2교(판교),시흥시,B,24,1,37.403684,126.839853
금이1교(일산),시흥시,B,24,3,37.396931,126.847315
금이1교(판교),시흥시,B,24,3,37.396931,126.847315
조남3교(일산),시흥시,B,24,2,37.380978,126.855804
조남3교(판교0),시흥시,B,24,2,37.380978,126.855804
조남3교(판교1),시흥시,B,7,2,37.380978,126.855804
조남2교(일산),시흥시,B,24,1,37.372833,126.860097
조남2교(판교),시흥시,B,24,2,37.372833,126.860097
조남1교(일산),시흥시,B,24,1,37.368655,126.869846
조남1교(판교),시흥시,B,24,1,37.368655,126.869846
조남JCTRamp-B교(0),시흥시,B,24,1,37.368655,126.869846
조남JCTRamp-B교(1),시흥시,B,8,1,37.368655,126.869846
조남JCTRamp-H교,시흥시,B,24,3,37.368655,126.869846
조남JCTRamp-G교,시흥시,B,8,기타,37.368655,126.869846
남사박교(일산0),안산시 상록구,B,24,1,37.369323,126.881013
남사박교(판교),안산시 상록구,B,24,1,37.369323,126.881013
남사박교(일산1),안산시 상록구,B,8,1,37.369323,126.881013
수리산교(일산),안양시 만안구,B,24,2,37.372168,126.9033
수리산교(판교),안양시 만안구,B,24,2,37.372168,126.9033
산본ICRamp-B교,군포시,B,24,3,37.376731,126.936687
산본IC교(일산),군포시,B,24,1,37.376731,126.936687
산본IC교(판교),군포시,B,24,1,37.376731,126.936687
안양고가교(일산),안양시 동안구,B,27,1,37.37919,126.946985
